type,local_path,remote_path,size,md5,sha1,source_pdf,source_pages,preflight_status
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00124.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00124.jpg",787971,0ac5cd40c3ec998327dcfbed8de61e22,d661caa171162707855cddefb8b3d903a4875f43,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00125.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00125.jpg",783501,808237788d13fcbd5f417ce01ffdb5de,c115d479677a3de34f91d5926a177d57eecaf8ac,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00126.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00126.jpg",756266,71a670c4b6c6238902763796a3d34abf,e92d05859d904d516b662a44e4c52fcc85013399,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00127.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00127.jpg",724577,2a0739795d6a55056fc18b19fd335a19,3e495f77a9aa82fddac15e6564b4a98524c9f87b,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00128.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00128.jpg",815657,ee0a198921215ee6ba09bcc7fc1f246c,727aea2af47245cde685bf499be8b354a4069163,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00129.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00129.jpg",747461,1b19a44746c9fd92e68389878013051c,221d61a869b7aa7a789d821d91a10431e47a2f27,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00130.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00130.jpg",865044,cfc32b84a9bf4785a30e7b18df431528,2aadad3bb6a171515fa40692d3cc7ac79afc73a3,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00131.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00131.jpg",733899,ffaa8accb3def97e04b01f902cc06028,d195a333fa4e77d09be82ee3809435e3d90bb1ec,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00132.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00132.jpg",774104,54216b64b8463bc97210d41b2d4f0dc7,e7026a2aa0b175873cc8612a2b08542554034aaa,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00133.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00133.jpg",848358,73c9531b6ab44ddeeff2966ae8fbdd71,f4e14da9c9dce6500a43e2d501a830c28ba39e7d,,,already-present-matching
