basename,local_file_count,branch_count,branches,distinct_md5_count,paths
848__M_00031.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00031.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00031.jpg"
848__M_00032.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00032.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00032.jpg"
848__M_00033.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00033.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00033.jpg"
848__M_00034.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00034.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00034.jpg"
848__M_00035.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00035.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00035.jpg"
848__M_00036.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00036.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00036.jpg"
848__M_00037.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00037.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00037.jpg"
848__M_00038.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00038.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00038.jpg"
848__M_00039.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00039.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00039.jpg"
848__M_00040.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00040.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00040.jpg"
848__M_00041.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00041.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00041.jpg"
848__M_00042.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00042.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00042.jpg"
